id,element_name,comments
3,"Таблица 1701-0101-01- Нефтяные и газовые скважины","1 В настоящей таблице приведены цены на разработку рабочих проектов на строительство разведочных скважин на новых, подготавливаемых к эксплуатации площадях.
2 Ценами таблицы не учтено проектирование:
- постоянных внеплощадочных сетей и сооружений, необходимых для бурения скважин (ВЛ и подстанций, водоводов, линий связи, глинопроводов, теплосетей и котельных);
- морских (стационарных или передвижных) платформ и эстакад для бурения скважин;
- намывных или насыпных оснований для объектов, расположенных на болотах, озерах, в поймах рек или шельфах морей.
3 Стоимость разработки рабочих проектов эксплуатационных нефтяных и газовых скважин и нагнетальных скважин определяется по ценам таблицы 1701-0101-01, с коэффициентом 0,9.
4 Стоимость проектирования наклонно-направленных скважин и эксплуатационных скважин, предназначенных для одновременно-раздельной добычи нефти и воды, определяется по ценам таблицы 1701-0101-01, с коэффициентом 1,1.
5 Стоимость проектирования наклонно-направленных скважин кустового бурения при количестве в кусте до 6 скважин, определяется по ценам таблицы 1701-0101-01 как за одну скважину, с коэффициентом 1,2. При количестве скважин в кусте свыше 6, к ценам таблицы 1701-0101-01 применяется коэффициент 1,35.
6 При разработке рабочих проектов на группу скважин, имеющих одинаковые виды энергии, комплекты основного и вспомогательного оборудования, конструктивные узлы вышки и привышечных сооружений, стоимость проектирования определяется по ценам таблицы 1701-0101-01 как за одну скважину, с коэффициентом 1,1.
7 При разработке рабочих проектов на группу скважин, имеющих разные виды энергии, комплекты основного и вспомогательного оборудования, конструктивные узлы вышки и привышечных сооружений, цена на разработку проекта на первую скважину принимается за единицу, а на последующие скважины с коэффициентом 0,7.
8 В случае проектирования скважин для добычи воды, необходимой при бурении нефтяных, газовых или других скважин, стоимость проектирования их определяется по ценам таблицы 1701-0101-01, с коэффициентом 0,8.
9 Стоимость проектирования нефтяных и газовых скважин, расположенных на морских шельфах или в море, при глубине моря до 200 м, определяется по ценам таблицы 1701-0101-01, с коэффициентом 1,25.
10 При применении типовых схем расположения бурового оборудования, привышечных сооружений и фундаментов, к ценам таблицы 1701-0101-01 применяется коэффициент 0,94.
При разработке рабочего проекта на базе данных технологических регламентов на участок, площадь или месторождение, к ценам таблицы 1701-0101-01 применяется коэффициент 0,95."
4,"Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа","1 Ценами поз. 1 - 8 учтено проектирование:
- обустройства устьев скважин;
- выкидных линий;
- групповых замерных установок;
- нефтегазосборных сетей;
- опорных пунктов бригад;
- генерального плана нефтяного месторождения;
- диспетчерского управления.
2 Ценами поз. 1 - 8 не учтено проектирование нефте- и газопроводов для транспорта нефти и газа от установок 1 ступени сепарации до ЦПС, а также электрической защиты от коррозии колонн скважин.
3 Ценами поз. 9 - 12 учтено проектирование:
- насосной станции с сепараторами 1 ступени и буферной емкостью;
- аварийных емкостей (резервуаров);
- установок по закачке метанола и ингибитора коррозии;
- воздушной компрессорной;
- операторной и блока обогрева вахтенного персонала;
- сооружений водоснабжения и канализации (в т.ч. насосной производственно-дождевых стоков, водозаборных сооружений из артскважины с насосной станцией II подъема).
4 Ценами поз. 9 - 10 учтено также проектирование установки предварительного сброса пластовой воды и сооружений по обработке пластовой воды.
5 Ценами поз. 9 - 12 не учтено проектирование:
- факельных систем;
- узлов учета нефти;
- стационарных систем пожаротушения (при наличии на ДНС аварийных резервуаров объемом 5000 м3).
6 Ценами поз. 13 - 19 не учтено проектирование нефтенасосных внутрипарковой перекачки.
7 Ценами поз. 23 - 28 учтено проектирование:
- обустройство устьев скважин;
- разводящих газопроводов по скважинам;
- групповых распределительных гребенок;
- высоконапорных газопроводов от компрессорной станции;
8 При наличии двух и более сортов нефти или раздельного сбора безводной и обводненной нефти, к ценам поз. 1 - 22 применяется коэффициент 1,05.
9 При наличии тяжелых, застывающих и высокопарафинистых нефтей, к ценам поз. 1-22 применяется коэффициент 1,3.
10 Стоимость проектирования бескомпрессорной газлифтной эксплуатации скважин определяется по ценам поз. 23 - 28; при этом в случае расположения газлифтных скважин на одной площадке (кусте) с газовыми скважинами, к ценам поз. 23-28 применяется коэффициент 0,3.
11 Ценами поз. 36 - 39 учтено проектирование узлов товарного учета нефти. При проектировании узлов оперативного учета нефти, к ценам поз. 36-39 применяется коэффициент 0,7.
12 Ценами поз. 40 - 42 учтено проектирование сооружений по приготовлению соляных растворов для использования их при ремонте скважин. В случае применения многокомпонентных растворов и эмульсии, изготовленных на углеводородной основе с добавлением определенных утяжелителей, к ценам поз. 40-42 применяется коэффициент 1,4.
13 Стоимость проектирования электрохимзащиты колон скважин определяется по ценам таблицы 1701-0101-01, с коэффициентом 0,03 к стоимости разработки рабочего строительства скважин. При этом, при проектировании электрохимзащиты колонн группы скважин, имеющих одинаковые технические характеристики, стоимость проектирования первой скважины определяется с коэффициентом 1,0, а каждой последующей с коэффициентом 0,5.
14 Стоимость проектирования нефтепроводов определяется по ценам таблицы 1701-0102-01 настоящего раздела, газопроводов - по ценам соответствующего раздела.
15 При проектировании резервуарных парков с подземными емкостями, к ценам применяется коэффициент 1,2."
5,"Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды","В настоящей таблице приведены цены на разработку проекта, рабочего проекта и рабочей документации на строительство центральных пунктов сбора и подготовки нефти, газа и воды (ЦПС) и отдельных объектов подготовки нефти и нефтяного газа.
1 Ценами поз. 1 - 16 учтено проектирование:
- установки подготовки нефти;
- концевой ступени сепарации;
- сооружений внешнего транспорта нефти;
- компрессорной воздуха;
- установки предварительного сбора пластовой воды;
- сооружений по обработке пластовых вод;
- очистных сооружений производственно-дождевых и бытовых сточных вод;
- сооружений производственно-противопожарного и хозпитьевого водоснабжения;
- водозаборных сооружений из скважин;
- дизельной электростанции.
2 Ценами поз. 1 - 8 учтено также проектирование газокомпрессорной станции и пождепо, ценами поз. 5 - 12 - проектирование склада ШФЛУ с насосной внешнего транспорта.
3 Ценами поз. 1-16 не учтено проектирование установок подготовки газа, резервуарных парков и факельных систем.
4 Ценами таблицы 1701-0101-03 учтено проектирование промысловых газокомпрессорных станций с винтовыми компрессорами с электроприводом, мощностью до 400 кВт. При проектировании промысловых газокомпрессорных станций с компрессорами других типов или с большей единичной мощностью, цены на разработку проектно - сметной документации принимаются по аналогии с газлифтными компрессорными станциями или применительно к компрессорным станциям (ценам) магистральных газопроводов (газоперерабатывающих заводов).
5 Ценами поз. 20 - 22 не учтено проектирование факельных систем.
6 Ценами поз. 23 - 25 учтено проектирование установок осушки нефтяного газа абсорбционным способом с помощью жидких поглотителей (гликолей) с последующей регенерацией поглотителя от абсорбированной из газа воды.
7 Ценами поз. 29 - 33 учтено проектирование:
- факелов низкого и высокого давления;
- площадок факельных сепараторов и конденсатосборников;
- факельных трубопроводов надземной прокладки.
8 При проектировании факельных систем с одним факелом, к ценам поз. 29 - 33 применяется коэффициент 0,9.
При проектировании факельных трубопроводов подземной прокладки, к ценам поз. 29 - 33 применяется коэффициент 0,95."
6,"Таблица 1701-0101-04- Объекты поддержания пластового давления","1 Ценами таблицы учтено проектирование:
- обустройства устьев нагнетательных скважин;
- водораспределительных и газораспределительных пунктов;
- высоконапорных водоводов и газопроводов высокого давления от компрессорных станций до нагнетательных скважин.
2 Ценами таблицы не учтено проектирование водозаборов, водопроводных очистных сооружений и низконапорных водопроводов.
3 Ценами поз. 20 – 23 не учтено проектирование газокомпрессорных станций, установок по очистке и осушке газа, насосных станций с технологическим и резервуарами для периодической закачки в пласт воды.
4 Стоимость проектирования нефтяных насосных станций, предназначенных для закачки минерализованных вод (пластовая морская и др.), определяется по ценам таблицы с коэффициентом 1,2."
7,"Глава 1 Нефтедобывающая промышленность","1. В настоящей главе подраздела приведены цены на разработку проектно-сметной документации для строительства объектов обустройства нефтяных месторождений.
2. Стоимость разработки проектно-сметной документации на обустройство нефтяного месторождения определяются суммированием цен на проектирование систем и отдельных объектов сбора, транспорта и подготовки нефти, газа и воды, поддержания пластового давления, термических методов воздействия на пласт, баз производственного обслуживания, входящих в состав обустройства нефтяного месторождения.
3. Ценами на разработку проектно-сметной документации для строительства объектов обустройства нефтяного месторождения учтено проектирование объектов подсобно-вспомогательного и административно-бытового назначения, внутриплощадочных сетей, коммуникаций, сооружений и устройств (электроснабжения, теплоснабжения, газоснабжения, водоснабжения, канализации, транспорт, связи и др.), расположенных в пределах производственной площадки проектируемых объектов.
4. Ценами настоящей главы не учтено проектирование внеплощадочных сетей, коммуникаций, сооружений и устройств (электроснабжения, теплоснабжения, газоснабжения, водоснабжения, канализации, транспорта, связи и др.), включая линии электропередачи 6 и 10 кВ и линии телемеханики по месторождению, водозаборы, водопроводные очистные сооружения, а также котельные и электростанции 35 кВ и выше, вне зависимости от места их расположения.
5. Ценами учтено проектирование объектов и сооружений для работы с неагрессивными средами.
При проектировании объектов и сооружений для работы с агрессивными средами (содержащими сероводород, углекислоту, высокоминерализованные пластовые воды и т.п.) к ценам Таблиц 1701-0101-02 - 1701-0101-04 применяется коэффициент 1,2.
6. При разработке проектно-сметной документации для районов, затопляемых паводковыми водами, сильно залесенной или заболоченной территории и безводных пустынь, к ценам Таблиц 1701-0101-02, 1701-0101-04, 1701-0101-05 применяется коэффициент 1,15.
7. При проектировании на нефтяном месторождении при многопластовых продуктивных залежей нескольких систем сбора и транспорта нефти и нефтяного газа, систем заводнения продуктивных пластовых и систем закачки в пласт различных агентов (газа, пара и т. п.) с различными давлениями, к ценам Таблиц 1701-0101-02, 1701-0101-04, 1701-0101-05 применяется коэффициент 1,1 на каждую систему, кроме первой.
8. При разработке проектной документации с применением узлового метода1 строительства и комплектно-блочного2 монтажа оборудования, к ценам таблиц настоящей главы применяется коэффициент 1,2.
9. При проектировании объектов обустройства морских нефтяных месторождений, к ценам таблиц настоящей главы применяется коэффициент 1,25.
 
_________________________
1 Узловой метод заключается в том, что в составе пускового комплекса выделяются конструктивно и технологически обособленные части. Решение о разработке проектно-сметной документации узлового метода принимается генеральной проектной организацией по согласованию с заказчиком, генеральной подрядной строительной и ведущей субподрядной организациями.
2 Комплектно-блочный метод - принципиально новый подход к проектированию объекта. При этом исходным элементом формирования объекта является блок, доведенный до уровня изделия высокой заводской готовности с максимально агрегированным функционально взаимосвязанным оборудованием. Решение о разработке проектно-сметной документации на строительство с применением комплектно-блочного метода принимается генеральной проектной организацией по согласованию с заказчиком, генеральной подрядной строительной и ведущей субподрядной организациями."
8,"Глава 2 Магистральный транспорт нефти","1. В настоящей главе приведены цены на разработку проектно-сметной документации линейной части и сооружений, входящих в состав магистральных нефтепроводов, с рабочим давлением до 100 кгс/см2 (9,8 МПа).
2. В цены на проектирование линейной части магистральных нефтепроводов и ответвлений от них не входит стоимость проектирования:
- подводных переходов трубопроводом через водные преграды в две и более ниток;
- подвесных и балочных переходов трубопроводом через препятствия;
- вдольтрассовых проездов;
- высоковольтных линий электропередач (ВЛ) для электроснабжения линейных потребителей (вдольтрассовых и от местных источников);
- магистральной технологической связи;
- аварийно-восстановительных пунктов;
- усадеб линейных ремонтеров, домов обогрева и пунктов наблюдения за крупными подводными переходами;
- вертодромов и посадочных вертолетных площадок;
- баз производственного обслуживания (ЦБПО, БПО и др.)
- переходов через железные и автомобильные дороги;
- противопожарных и противокоррозионных мероприятий.
3. В цены на проектирование перекачивающих насосных станций не входят стоимость проектирования высоковольтных линий электропередач (ВЛ) для электроснабжения перекачивающих станций и котельные.
4. Стоимость проектирования сооружений, не входящих в цены проектирования настоящей главы, определяется по соответствующим подразделам Раздела.
5. При проектировании магистрального нефтепровода с ответвлениями, стоимость проектирования нефтепровода и ответвлений определяются раздельно.
6. Стоимость проектирования перекачивающих станций и других объектов магистрального нефтепровода определяется раздельно по каждой площадке.
7. Ценами настоящей главы разработка проекта рекультивации земель не учтена.
8. При разработке проектной документации с применением узлового метода строительства и комплектно-блочного монтажа оборудования, к ценам таблиц настоящей главы применяется коэффициент 1,2.
9. При строительстве магистрального нефтепровода несколькими генеральными подрядчиками, стоимость работ по составлению проекта организации строительства и расчетов сметной стоимости работ и затрат с составлением отдельной ведомости для каждого подрядчика определяется с коэффициентом 1,05 от стоимости разработки ПОС и сметной стоимости."
9,"Подраздел 1 Нефтедобывающая промышленность","1. В настоящем подразделе Раздела приведены цены на разработку проектов, рабочих проектов и рабочей документации для строительства объектов нефтяной промышленности.
2. При применении цен настоящего подраздела Раздела следует руководствоваться также «Общими положениями по применению сборника цен на проектные работы для строительства».
3. Ценами подраздела не учтена разработка материалов для получения разрешения на спецводопользование.
4. Нормы работ по выбору площадки (трассы) для строительства определяются по нормам трудозатрат на разработку проекта соответствующего объекта с коэффициентом 0,05.
5. Таблицы Подразделов включают в себя следующие графы:
1) Номер позиции
2) Наименование объекта проектирования
3) Основной показатель объекта
4) Параметры цены а и b (представляют собой параметры цены проектируемого объекта для стадий «РД»). Измеряются в тыс. тенге.
5) К1-коэффициент стадийности «П»
6) К2-коэффициент стадийности «РП».
6. Цены на проектные работы рассчитаны в текущем уровне по состоянию на 1 января 2022 года."
