id,name,ratio1,ratio2
4,"Просадочные, набухающие грунты; карстовые и оползневые явления; расположение площадки строительства над горными выработками, в подтапливаемых зонах",1.05,1.2
5,"Сейсмичность 7 баллов",1.05,1.2
7,"Сейсмичность 8 баллов",1.1,1.3
8,"Сейсмичность 9 баллов",1.1,1.4
9,"Не применять, нет указанных факторов",1,1
