id,name,ratio
1,"Объект в исторической среде (на территории или непосредственной близости от памятников истории и культуры)",1.3
2,"Объект в зоне охраняемого ландшафта (садово-парковые ансамбли, парки, заповедные зоны, скверы)",1.2
3.1,"Объект на сложных участках. Территория затеснена (менее нормативной), наличие рядом стоящих существующих объектов, создающих неудобства или требующие проведения дополнительных мероприятий по их устранению",1.1
3.2,"Объект на сложных участках. Наличие напряженного режима городского транспорта (надземного и подземного) в непосредственной близости от проектируемого объекта, требующего дополнительных мероприятий по снижению шума, вибрации и другие",1.05
3.3,"Объект на сложных участках. Необходимость перемещения большого объема земляных масс в природоохранных целях (при рекультивации земель, археологических раскопках)",1.2
3.4,"Объект на сложных участках. Необходимость перекладки инженерных сетей, дорог (более 3-х)",1.12
